tz1PrQjp38WaZAKtEGSM4RmgefBcZz838tX2,10000,무이투,3
tz1XERm1hayQWaAt6MriD3W1W7nQVCzbshKk,6000,수호천사,3
tz1WuEwAexbx1T7PwCPRnB4Ln3VjQyGrTLwF,12000,아기고래,3
tz1azNjsLJiaRZ6Zj43sHchvHYD3DLbvwUko,1500,김태현,5,2018. 07. 16. (월) 19:19:46 KST
tz1LqSfBZQXWiXwsYchUiYSFgkiNT3eY9Wij,500,han,5,2018. 07. 16. (월) 19:18:16 KST
tz1ehBrvenpeUCKZBcgH34VMr5KPg9gxzkSP,9935,james,5,2018. 07. 17. (화) 18:04:57 KST
tz1UrUfcaEYaND4UuhkpX5Ao1auWVDMqvP49,1339,아크머신,5,2018. 07. 17. (화) 18:06:27 KST
tz1WuEwAexbx1T7PwCPRnB4Ln3VjQyGrTLwF,3875,아기고래2,5,2018. 07. 17. (화) 18:07:34 KST
tz1WuEwAexbx1T7PwCPRnB4Ln3VjQyGrTLwF,1351,아기고래3,7,2018. 07. 23. (월) 21:12:17 KST
tz1WuEwAexbx1T7PwCPRnB4Ln3VjQyGrTLwF,700,아기고래4,8,2018. 07. 26. (목) 18:45:55 KST
tz1XERm1hayQWaAt6MriD3W1W7nQVCzbshKk,10000,수호천사2(24사이클 종료),13,2018. 08. 09. (목) 20:20:28 KST
tz1WuEwAexbx1T7PwCPRnB4Ln3VjQyGrTLwF,800,아기고래5,14,2018. 08. 15. (수) 20:45:11 KST
tz1WuEwAexbx1T7PwCPRnB4Ln3VjQyGrTLwF,400,아기고래 보너스(12-21),5,2018. 08. 15. (수) 20:45:11 KST
